company_page,company_name
https://www.dairynews.ru/company/agrofirma-pobeda-ooo/,"Агрофирма Победа, ООО"
https://www.dairynews.ru/company/yukhmachi-megaferma/,"Юхмачи, мегаферма"
https://www.dairynews.ru/company/imeni-gastello-oao/,"Имени Гастелло, АО"
https://www.dairynews.ru/company/agrofirma-novyy-put-ooo/,"Агрофирма Новый путь, ООО"
https://www.dairynews.ru/company/tubinsk-ao/,"Тубинск, АО"
https://www.dairynews.ru/company/pz-ilkino-ao/,"Илькино, АО ПЗ"
https://www.dairynews.ru/company/berezovskoe-ao/,"Березовское, АО"
https://www.dairynews.ru/company/gavrilovskoe-spk/,"Гавриловское, СПК"
https://www.dairynews.ru/company/skorodnyanskoe-zao/,"Скороднянское, ЗАО"
https://www.dairynews.ru/company/mir-ooo-udm/,"Мир, ООО"
https://www.dairynews.ru/company/kolkhoz-im-v-i-lenina-ooo/,"Колхоз им. В. И. Ленина, ООО"
https://www.dairynews.ru/company/pokrovskoe-ooo/,"Покровское, ПЗ ООО"
https://www.dairynews.ru/company/druzhba-oao/,"Дружба, ОАО"
https://www.dairynews.ru/company/agrofirma-krasnaya-zvezda-spk-/,"Агрофирма Красная Звезда, СПК "
https://www.dairynews.ru/company/druzhba-ooo/,"Дружба, ООО (Мордовия респ)"
https://www.dairynews.ru/company/niva-oao-afp/,"Нива, ОАО АФП"
https://www.dairynews.ru/company/agro-sibir-ooo/,"Агро-Сибирь, ООО"
https://www.dairynews.ru/company/agrokholding-avangard/,"Агроферма Авангард, ООО"
https://www.dairynews.ru/company/niva-ooo-br/,"Нива, ООО (Брянская обл)"
https://www.dairynews.ru/company/molochnik-ooo/,"Молочник, ООО"
https://www.dairynews.ru/company/rus-oao-saf/,"Русь, ОАО САФ"
https://www.dairynews.ru/company/uspenskoe-zao/,"Успенское, ЗАО"
https://www.dairynews.ru/company/ooo-sp-amp-quot-donskoe-amp-quot/,"СП Донское, ООО"
https://www.dairynews.ru/company/plemzavod-mukhinskiy-oao/,"Племзавод Мухинский, ОАО"
https://www.dairynews.ru/company/sherya-ooo/,"Шерья, ООО"
https://www.dairynews.ru/company/sibir-1-zao/,"Сибирь-1, ЗАО"
https://www.dairynews.ru/company/okinskiy-spk/,"Окинский, СПК"
https://www.dairynews.ru/company/agrokombinat-plemzavod-krasnogorskiy-zao/,"Агрокомбинат племзавод Красногорский, ЗАО"
